,User_id,Registration number,rating
0,0,0,0.8
16525,0,668,3.5
49725,0,2004,2.4000000000000004
197550,0,7994,3.7
77475,0,3132,1.2000000000000002
108275,0,4380,4.4
49700,0,2003,4.1000000000000005
197575,0,7995,0.6000000000000001
230700,0,9331,1.4
16575,0,670,4.5
139050,0,5624,0.5
169750,0,6864,4.6000000000000005
108300,0,4381,2.3000000000000003
16500,0,667,0.6000000000000001
169900,0,6870,1.4
230850,0,9337,0.1
16425,0,664,2.1
49800,0,2007,0.6000000000000001
108375,0,4384,2.1
138900,0,5618,2.0
16450,0,665,4.6000000000000005
16600,0,671,2.1
77400,0,3129,0.1
49775,0,2006,1.5
230800,0,9335,4.7
77425,0,3130,2.5
108325,0,4382,4.2
49750,0,2005,2.7
49650,0,2001,2.4000000000000004
197625,0,7997,4.1000000000000005
16725,0,676,2.5
197725,0,8001,3.3000000000000003
108100,0,4373,4.9
139175,0,5629,2.5
169625,0,6859,0.2
49525,0,1995,3.2
197750,0,8002,1.6
108075,0,4372,2.0
77625,0,3138,2.4000000000000004
230500,0,9323,0.9
139225,0,5631,3.8
77675,0,3140,1.3
16800,0,679,4.3
49475,0,1993,3.6
197800,0,8004,2.2
77650,0,3139,0.5
108400,0,4385,0.9
169650,0,6860,4.2
49625,0,2000,0.6000000000000001
197650,0,7998,3.4000000000000004
230625,0,9328,3.6
16650,0,673,0.6000000000000001
108175,0,4376,4.6000000000000005
139150,0,5628,2.3000000000000003
49600,0,1999,0.8
197675,0,7999,3.4000000000000004
230600,0,9327,1.3
169675,0,6861,0.9
77600,0,3137,2.2
197700,0,8000,4.3
16700,0,675,1.9
77575,0,3136,2.6
197450,0,7990,1.7000000000000002
49825,0,2008,2.3000000000000003
16400,0,663,2.1
170150,0,6880,1.4
77125,0,3118,3.8
108675,0,4396,4.9
138600,0,5606,1.7000000000000002
108650,0,4395,0.4
231175,0,9350,3.0
138625,0,5607,0.3
16150,0,653,3.9
77175,0,3120,2.0
231100,0,9347,2.4000000000000004
50025,0,2016,1.6
197250,0,7982,1.0
108600,0,4393,3.5
197175,0,7979,3.0
138575,0,5605,2.2
16000,0,647,0.2
50150,0,2021,2.8000000000000003
50100,0,2019,4.7
197125,0,7977,1.9
77075,0,3116,4.4
108725,0,4398,3.9
138550,0,5604,2.8000000000000003
50125,0,2020,4.3
197150,0,7978,0.5
16075,0,650,2.8000000000000003
170175,0,6881,3.0
77100,0,3117,3.6
16200,0,655,2.2
138775,0,5613,2.1
169975,0,6873,1.3
49900,0,2011,0.9
197375,0,7987,3.1
16325,0,660,2.8000000000000003
108475,0,4388,1.3
49875,0,2010,3.3000000000000003
108500,0,4389,0.7000000000000001
16350,0,661,1.1
138825,0,5615,2.1
77325,0,3126,4.9
230900,0,9339,0.5
16375,0,662,4.4
49850,0,2009,3.6
138850,0,5616,0.2
169925,0,6871,3.0
77350,0,3127,3.7
16300,0,659,2.5
197350,0,7986,2.6
50000,0,2015,1.7000000000000002
108575,0,4392,0.0
77225,0,3122,0.9
197300,0,7984,3.0
108550,0,4391,2.1
230975,0,9342,2.4000000000000004
138725,0,5611,2.6
170025,0,6875,3.3000000000000003
77250,0,3123,3.3000000000000003
231000,0,9343,3.5
138750,0,5612,2.3000000000000003
170000,0,6874,0.0
49925,0,2012,4.2
139250,0,5632,2.9000000000000004
77700,0,3141,1.5
17350,0,701,1.9
229900,0,9298,0.0
17375,0,702,3.0
107500,0,4349,1.2000000000000002
78125,0,3158,2.3000000000000003
48975,0,1973,3.8
169100,0,6838,3.0
229875,0,9297,0.5
17400,0,703,3.0
78175,0,3160,2.0
139800,0,5654,4.2
48950,0,1972,0.4
229850,0,9296,0.1
78200,0,3161,1.2000000000000002
107450,0,4347,2.9000000000000004
169150,0,6840,1.6
198250,0,8022,1.0
139650,0,5648,0.3
17250,0,697,2.2
169225,0,6843,4.5
78050,0,3155,2.9000000000000004
107600,0,4353,4.7
198200,0,8020,0.6000000000000001
17275,0,698,2.6
169200,0,6842,0.7000000000000001
139700,0,5650,1.1
229975,0,9301,4.3
17300,0,699,0.8
198225,0,8021,4.3
169175,0,6841,1.3
78100,0,3157,1.8
229950,0,9300,2.5
78075,0,3156,4.5
139825,0,5655,1.7000000000000002
168975,0,6833,1.7000000000000002
107325,0,4342,2.3000000000000003
78300,0,3165,3.5
229700,0,9290,4.4
17575,0,710,3.4000000000000004
48800,0,1966,0.2
198475,0,8031,0.9
139975,0,5661,3.2
78325,0,3167,3.6
140000,0,5662,0.7000000000000001
78350,0,3168,1.2000000000000002
48750,0,1964,1.9
229675,0,9289,2.0
229825,0,9295,4.6000000000000005
17450,0,705,3.0
48900,0,1970,3.0
229800,0,9294,3.1
107400,0,4345,3.0
139875,0,5657,3.6
139925,0,5659,1.1
229775,0,9293,3.1
198400,0,8028,3.7
139900,0,5658,1.9
169000,0,6834,0.9
198425,0,8029,1.3
197900,0,8008,1.7000000000000002
169475,0,6853,4.800000000000001
139375,0,5637,2.0
230325,0,9315,1.2000000000000002
16925,0,684,4.5
16975,0,686,2.9000000000000004
139400,0,5638,3.0
230275,0,9313,0.5
17000,0,687,0.5
77850,0,3147,0.2
107850,0,4363,1.7000000000000002
139425,0,5639,4.4
230300,0,9314,3.8
230250,0,9312,3.4000000000000004
230350,0,9316,1.7000000000000002
16825,0,680,1.3
139275,0,5633,1.6
230425,0,9320,4.6000000000000005
16850,0,681,4.6000000000000005
169550,0,6856,1.4
49425,0,1991,3.4000000000000004
230400,0,9318,1.2000000000000002
107950,0,4367,1.7000000000000002
230375,0,9317,4.6000000000000005
16900,0,683,0.7000000000000001
197875,0,8007,1.7000000000000002
169500,0,6854,3.9
197850,0,8006,0.4
17025,0,688,3.6
213000,0,8614,1.3
169300,0,6846,2.1
230125,0,9307,3.6
49175,0,1981,4.2
107700,0,4357,0.9
77975,0,3152,4.0
230100,0,9306,2.6
17175,0,694,1.1
139600,0,5646,4.6000000000000005
169275,0,6845,3.1
78000,0,3153,4.5
230075,0,9305,1.7000000000000002
17200,0,695,3.3000000000000003
139625,0,5647,1.7000000000000002
198125,0,8017,2.0
169400,0,6850,0.6000000000000001
49200,0,1982,3.1
230150,0,9308,4.4
107825,0,4362,0.0
139450,0,5640,4.4
49275,0,1985,5.0
230225,0,9311,0.0
107800,0,4361,0.7000000000000001
49250,0,1984,3.8
198025,0,8013,1.7000000000000002
17125,0,692,5.0
230200,0,9310,2.9000000000000004
139500,0,5642,3.4000000000000004
107750,0,4359,4.3
169325,0,6847,2.7
77950,0,3151,4.4
77025,0,3114,2.0
170250,0,6884,0.6000000000000001
14850,0,601,4.4
51175,0,2062,0.1
109825,0,4442,3.3000000000000003
171150,0,6920,0.6000000000000001
232400,0,9399,1.4
137450,0,5560,4.800000000000001
196125,0,7937,4.6000000000000005
